# Format: TARIH|SEMBOL|YUZDE
2026-03-03|SKYLP|9.99
2026-03-04|AVOD|9.83
2026-03-04|BIENY|9.93
2026-03-04|BORLS|9.93
2026-03-04|FONET|9.87
2026-03-04|GZNMI|9.93
2026-03-04|IZINV|9.95
2026-03-04|KLMSN|9.98
2026-03-04|KUVVA|10.0
2026-03-04|LYDYE|10.0
2026-03-04|MMCAS|9.26
2026-03-04|PKENT|9.94
2026-03-04|QUAGR|9.81
2026-03-04|SKYMD|9.95
2026-03-04|SMART|9.94
2026-03-04|VKFYO|9.94
2026-03-05|BIOEN|9.01
2026-03-05|EUPWR|9.97
2026-03-05|INTEM|9.99
2026-03-05|ISKPL|9.96
2026-03-05|KCAER|9.96
2026-03-05|KORDS|9.97
2026-03-05|KRONT|9.88
2026-03-05|SEGMN|9.99
2026-03-05|TEKTU|10.0
2026-03-05|TKFEN|9.95
2026-03-05|VANGD|9.94
2026-03-06|AYCES|9.11
2026-03-06|BMSTL|9.63
2026-03-06|BSOKE|9.95
2026-03-06|EGGUB|9.95
2026-03-09|AVTUR|10.0
2026-03-09|BLCYT|9.96
2026-03-09|CATES|9.98
2026-03-09|DOGUB|9.93
2026-03-09|GIPTA|10.0
2026-03-09|HALKB|10.0
2026-03-09|HLGYO|9.86
2026-03-09|MEKAG|9.93
2026-03-09|MEPET|9.97
2026-03-09|NIBAS|9.99
2026-03-09|PINSU|9.95
2026-03-09|PRZMA|9.94
2026-03-09|TATEN|9.97
2026-03-09|TMPOL|10.0
2026-03-09|ULUUN|9.95
2026-03-10|ARTMS|9.99
2026-03-10|BRSAN|9.96
2026-03-10|DGATE|10.0
2026-03-10|DOCO|9.23
2026-03-10|EDATA|9.95
2026-03-10|ESCOM|9.96
2026-03-10|FONET|9.95
2026-03-10|GEDZA|9.96
2026-03-10|GENIL|9.91
2026-03-10|GEREL|9.93
2026-03-10|HKTM|9.33
2026-03-10|KAPLM|9.93
2026-03-10|KLKIM|9.98
2026-03-10|KRDMA|9.96
2026-03-10|KRONT|9.97
2026-03-10|MZHLD|9.24
2026-03-10|OZSUB|9.91
2026-03-10|POLHO|9.96
2026-03-10|REEDR|10.0
2026-03-10|SARKY|10.0
2026-03-10|SKYLP|9.94
2026-03-10|TSPOR|9.78
2026-03-10|YAPRK|10.0
2026-03-10|YBTAS|10.0
2026-03-10|YUNSA|9.33
2026-03-11|BRMEN|9.99
2026-03-11|DESA|9.83
2026-03-11|INDES|10.0
2026-03-11|INVES|9.98
2026-03-11|KERVN|9.86
2026-03-11|KLRHO|10.0
2026-03-11|OZRDN|9.95
2026-03-11|SRVGY|9.73
2026-03-11|YEOTK|9.99
2026-03-12|ATEKS|9.95
2026-03-12|ATLAS|9.89
2026-03-12|BAHKM|9.96
2026-03-12|ICBCT|9.95
2026-03-12|ISGSY|9.96
2026-03-12|KMPUR|9.96
2026-03-12|KRDMB|9.98
2026-03-12|MANAS|10.0
2026-03-12|PLTUR|10.0
2026-03-12|SASA|10.0
2026-03-12|TUREX|10.0
2026-03-13|BIOEN|9.44
2026-03-13|DMRGD|9.78
2026-03-13|HURGZ|9.85
2026-03-13|KIMMR|9.97
2026-03-13|KRONT|9.93
2026-03-13|SILVR|9.72
2026-03-16|AHSGY|10.0
2026-03-16|BALAT|9.95
2026-03-16|BLCYT|9.29
2026-03-16|DOFER|9.92
2026-03-16|ESCAR|9.22
2026-03-16|GIPTA|9.99
2026-03-16|KERVN|10.0
2026-03-16|KMPUR|10.0
2026-03-16|MANAS|9.92
2026-03-16|MARKA|10.0
2026-03-16|NUHCM|9.11
2026-03-16|PCILT|9.98
2026-03-16|REEDR|9.98
2026-03-16|VAKKO|9.98
2026-03-16|VKFYO|9.96
2026-03-16|YAPRK|9.93
2026-03-17|BAHKM|9.94
2026-03-17|BTCIM|10.0
2026-03-17|DAPGM|9.1
2026-03-17|DGATE|9.96
2026-03-17|DMRGD|9.92
2026-03-17|FZLGY|9.99
2026-03-17|GRNYO|9.99
2026-03-17|KRONT|9.95
2026-03-17|LINK|9.84
2026-03-17|MAALT|9.95
2026-03-17|SRVGY|9.03
2026-03-18|ALKIM|10.0
2026-03-18|ALKLC|9.92
2026-03-18|EMKEL|9.92
2026-03-18|MSGYO|10.0
2026-03-18|QNBFK|9.71
2026-03-18|TATEN|9.95
2026-03-19|FORTE|9.94
2026-03-19|ISKPL|9.93
2026-03-19|PSDTC|9.96
2026-03-19|VERUS|10.0
2026-03-23|AKMGY|9.99
2026-03-23|DURKN|10.0
2026-03-23|EMKEL|9.99
2026-03-23|FONET|9.83
2026-03-23|GUNDG|9.96
2026-03-23|HEDEF|9.99
2026-03-23|IHAAS|9.86
2026-03-23|IZINV|9.92
2026-03-23|MEKAG|9.97
2026-03-23|MSGYO|9.01
2026-03-23|PAGYO|10.0
2026-03-23|PINSU|9.92
2026-03-23|RALYH|9.96
2026-03-23|SISE|9.99
2026-03-23|TATGD|9.07
2026-03-24|ATSYH|9.99
2026-03-24|CEMZY|9.99
2026-03-24|CEOEM|9.95
2026-03-24|DOGUB|9.93
2026-03-24|ISKPL|10.0
2026-03-24|ODINE|9.17
2026-03-24|PEKGY|9.31
2026-03-24|PSGYO|9.91
2026-03-24|YESIL|9.85
2026-03-25|ASTOR|9.07
2026-03-25|BURCE|9.99
2026-03-25|BURVA|10.0
2026-03-25|EMKEL|9.96
2026-03-25|ESCAR|9.97
2026-03-25|KLSYN|9.81
2026-03-25|MAKIM|9.98
2026-03-25|RALYH|9.99
2026-03-25|RUBNS|10.0
2026-03-25|TDGYO|10.0
2026-03-25|ULUFA|9.84
2026-03-25|YYAPI|9.84
2026-03-26|ACSEL|9.94
2026-03-26|ARZUM|9.72
2026-03-26|BYDNR|9.97
2026-03-26|CEMAS|9.87
2026-03-26|DCTTR|9.95
2026-03-26|GOODY|9.99
2026-03-26|GUNDG|9.41
2026-03-26|IZINV|9.99
2026-03-26|KRDMB|10.0
2026-03-26|LILAK|9.98
2026-03-26|MMCAS|9.5
2026-03-26|PAGYO|9.93
